"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 07:03:11 GMT 2021","Wed Aug 11 07:03:11 GMT 2021","53","test","test_TC01_Cookies","TestCookies","","","test_accept_cookies",""
"passed","Wed Aug 11 07:03:08 GMT 2021","Wed Aug 11 07:03:08 GMT 2021","35","test","test_TC00_Conduit","TestConduit","","","test_home_page_appearances",""
"passed","Wed Aug 11 07:03:09 GMT 2021","Wed Aug 11 07:03:10 GMT 2021","80","test","test_TC00_Conduit","TestConduit","","","test_website",""
"broken","Wed Aug 11 07:03:53 GMT 2021","Wed Aug 11 07:03:54 GMT 2021","1854","test","test_TC09_SajatCikkTorles","TestEditArticle","","","test_delete_own_article",""
"passed","Wed Aug 11 07:03:48 GMT 2021","Wed Aug 11 07:03:49 GMT 2021","1284","test","test_TC08_TobbOldalasBejaras","TestPaginationConduit","","","test_navigate_to_login",""
"passed","Wed Aug 11 07:03:39 GMT 2021","Wed Aug 11 07:03:40 GMT 2021","1283","test","test_TC06_SajatCikkSzerk","TestEditBlogPost","","","test_navigate_to_login",""
"passed","Wed Aug 11 07:03:25 GMT 2021","Wed Aug 11 07:03:27 GMT 2021","1979","test","test_TC05_SajatCikkSzerk","TestEditArticle","","","test_edit_own_article",""
"broken","Wed Aug 11 07:03:51 GMT 2021","Wed Aug 11 07:03:51 GMT 2021","14","test","test_TC08_TobbOldalasBejaras","TestPaginationConduit","","","test_pagination",""
"passed","Wed Aug 11 07:03:35 GMT 2021","Wed Aug 11 07:03:37 GMT 2021","2134","test","test_TC06_SajatCikkSzerk","TestEditBlogPost","","","test_website",""
"passed","Wed Aug 11 07:03:17 GMT 2021","Wed Aug 11 07:03:19 GMT 2021","1304","test","test_TC03_Login","TestLoginConduit","","","test_navigate_to_login",""
"passed","Wed Aug 11 07:03:30 GMT 2021","Wed Aug 11 07:03:33 GMT 2021","2730","test","test_TC06_AdatsorozatFile","TestFileUpload","","","test_upload_new_article_from_file",""
"broken","Wed Aug 11 07:03:42 GMT 2021","Wed Aug 11 07:03:42 GMT 2021","12","test","test_TC06_SajatCikkSzerk","TestEditBlogPost","","","test_create_new_article",""
"broken","Wed Aug 11 07:03:29 GMT 2021","Wed Aug 11 07:03:29 GMT 2021","230","test","test_TC05_SajatProfilSzerk","TestEditProfile","","","test_profile_settings",""
"passed","Wed Aug 11 07:03:45 GMT 2021","Wed Aug 11 07:03:47 GMT 2021","2126","test","test_TC08_TobbOldalasBejaras","TestPaginationConduit","","","test_website",""
"passed","Wed Aug 11 07:03:21 GMT 2021","Wed Aug 11 07:03:23 GMT 2021","2672","test","test_TC04_UjCikk","TestNewBlogPost","","","test_create_new_article",""
"broken","Wed Aug 11 07:03:44 GMT 2021","Wed Aug 11 07:03:44 GMT 2021","13","test","test_TC06_SajatCikkSzerk","TestEditBlogPost","","","test_edit_own_article",""
"passed","Wed Aug 11 07:03:13 GMT 2021","Wed Aug 11 07:03:15 GMT 2021","2141","test","test_TC02_Regisztracio","TestRegistrationConduit","","","test_registration",""
"passed","Wed Aug 11 07:03:56 GMT 2021","Wed Aug 11 07:03:58 GMT 2021","1787","test","test_TC11_FelhasznaloiKilepes","TestLogoutConduit","","","test_navigate_to_logout",""
