"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 09 19:10:34 GMT 2021","Mon Aug 09 19:10:34 GMT 2021","17","test","test_TC05_AdatsorozatFile","TestFileUpload","","","test_create_new_article",""
"passed","Mon Aug 09 19:10:42 GMT 2021","Mon Aug 09 19:10:44 GMT 2021","1585","test","test_TC06_SajatCikkSzerk","TestEditBlogPost","","","test_navigate_to_login",""
"broken","Mon Aug 09 19:10:45 GMT 2021","Mon Aug 09 19:10:45 GMT 2021","11","test","test_TC06_SajatCikkSzerk","TestEditBlogPost","","","test_create_new_article",""
"broken","Mon Aug 09 19:10:56 GMT 2021","Mon Aug 09 19:10:56 GMT 2021","15","test","test_TC08_TobbOldalasBejaras","TestPaginationConduit","","","test_pagination",""
"passed","Mon Aug 09 19:10:31 GMT 2021","Mon Aug 09 19:10:32 GMT 2021","1538","test","test_TC05_AdatsorozatFile","TestFileUpload","","","test_navigate_to_login",""
"broken","Mon Aug 09 19:10:47 GMT 2021","Mon Aug 09 19:10:47 GMT 2021","15","test","test_TC06_SajatCikkSzerk","TestEditBlogPost","","","test_edit_own_article",""
"passed","Mon Aug 09 19:11:02 GMT 2021","Mon Aug 09 19:11:04 GMT 2021","1591","test","test_TC09_SajatCikkTorles","TestDeleteBlogPost","","","test_navigate_to_login",""
"passed","Mon Aug 09 19:10:15 GMT 2021","Mon Aug 09 19:10:15 GMT 2021","66","test","test_TC01_Cookies","TestCookies","","","test_accept_cookies",""
"broken","Mon Aug 09 19:11:05 GMT 2021","Mon Aug 09 19:11:05 GMT 2021","20","test","test_TC09_SajatCikkTorles","TestDeleteBlogPost","","","test_create_new_article",""
"passed","Mon Aug 09 19:11:58 GMT 2021","Mon Aug 09 19:12:00 GMT 2021","2133","test","test_TC11_FelhasznaloiKilepes","TestLogoutConduit","","","test_website",""
"broken","Mon Aug 09 19:10:23 GMT 2021","Mon Aug 09 19:10:26 GMT 2021","2337","test","test_TC04_UjCikk","TestNewBlogPost","","","test_create_new_article",""
"passed","Mon Aug 09 19:10:38 GMT 2021","Mon Aug 09 19:10:40 GMT 2021","2144","test","test_TC06_SajatCikkSzerk","TestEditBlogPost","","","test_website",""
"passed","Mon Aug 09 19:10:14 GMT 2021","Mon Aug 09 19:10:14 GMT 2021","123","test","test_TC00_Conduit","TestConduit","","","test_website",""
"broken","Mon Aug 09 19:12:05 GMT 2021","Mon Aug 09 19:12:55 GMT 2021","50375","test","test_TC11_FelhasznaloiKilepes","TestLogoutConduit","","","test_navigate_to_logout",""
"passed","Mon Aug 09 19:10:49 GMT 2021","Mon Aug 09 19:10:51 GMT 2021","2135","test","test_TC08_TobbOldalasBejaras","TestPaginationConduit","","","test_website",""
"passed","Mon Aug 09 19:10:20 GMT 2021","Mon Aug 09 19:10:21 GMT 2021","1741","test","test_TC03_Login","TestLoginConduit","","","test_navigate_to_login",""
"passed","Mon Aug 09 19:10:27 GMT 2021","Mon Aug 09 19:10:29 GMT 2021","2160","test","test_TC05_AdatsorozatFile","TestFileUpload","","","test_website",""
"passed","Mon Aug 09 19:10:53 GMT 2021","Mon Aug 09 19:10:54 GMT 2021","1505","test","test_TC08_TobbOldalasBejaras","TestPaginationConduit","","","test_navigate_to_login",""
"passed","Mon Aug 09 19:10:13 GMT 2021","Mon Aug 09 19:10:13 GMT 2021","50","test","test_TC00_Conduit","TestConduit","","","test_home_page_appearances",""
"passed","Mon Aug 09 19:12:02 GMT 2021","Mon Aug 09 19:12:04 GMT 2021","1593","test","test_TC11_FelhasznaloiKilepes","TestLogoutConduit","","","test_navigate_to_login",""
"failed","Mon Aug 09 19:10:16 GMT 2021","Mon Aug 09 19:10:18 GMT 2021","1651","test","test_TC02_Regisztracio","TestRegistrationConduit","","","test_registration",""
"broken","Mon Aug 09 19:10:36 GMT 2021","Mon Aug 09 19:10:36 GMT 2021","18","test","test_TC05_AdatsorozatFile","TestFileUpload","","","test_create_comment_upload_from_file",""
"broken","Mon Aug 09 19:11:07 GMT 2021","Mon Aug 09 19:11:57 GMT 2021","50394","test","test_TC09_SajatCikkTorles","TestDeleteBlogPost","","","test_delete_own_article",""
"passed","Mon Aug 09 19:10:58 GMT 2021","Mon Aug 09 19:11:00 GMT 2021","2130","test","test_TC09_SajatCikkTorles","TestDeleteBlogPost","","","test_website",""
