"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 13:32:33 GMT 2021","Wed Aug 11 13:32:36 GMT 2021","2693","test","test_TC05_SajatCikkSzerk","TestEditArticle","","","test_edit_own_article",""
"passed","Wed Aug 11 13:32:47 GMT 2021","Wed Aug 11 13:32:49 GMT 2021","1312","test","test_TC08_TobbOldalasBejaras","TestPaginationConduit","","","test_navigate_to_login",""
"passed","Wed Aug 11 13:33:09 GMT 2021","Wed Aug 11 13:33:11 GMT 2021","1495","test","test_TC11_FelhasznaloiKilepes","TestLogoutConduit","","","test_navigate_to_logout",""
"passed","Wed Aug 11 13:32:17 GMT 2021","Wed Aug 11 13:32:17 GMT 2021","90","test","test_TC01_Cookies","TestCookies","","","test_accept_cookies",""
"passed","Wed Aug 11 13:32:12 GMT 2021","Wed Aug 11 13:32:12 GMT 2021","74","test","test_TC00_Conduit","TestConduit","","","test_home_page_appearances",""
"passed","Wed Aug 11 13:32:24 GMT 2021","Wed Aug 11 13:32:25 GMT 2021","1334","test","test_TC03_Login","TestLoginConduit","","","test_navigate_to_login",""
"broken","Wed Aug 11 13:32:51 GMT 2021","Wed Aug 11 13:32:51 GMT 2021","15","test","test_TC08_TobbOldalasBejaras","TestPaginationConduit","","","test_pagination",""
"passed","Wed Aug 11 13:32:43 GMT 2021","Wed Aug 11 13:32:45 GMT 2021","2152","test","test_TC08_TobbOldalasBejaras","TestPaginationConduit","","","test_website",""
"passed","Wed Aug 11 13:32:27 GMT 2021","Wed Aug 11 13:32:30 GMT 2021","3045","test","test_TC04_UjCikk","TestNewBlogPost","","","test_create_new_article",""
"failed","Wed Aug 11 13:32:53 GMT 2021","Wed Aug 11 13:33:07 GMT 2021","14248","test","test_TC09_SajatCikkTorles","TestEditArticle","","","test_delete_own_article",""
"passed","Wed Aug 11 13:32:14 GMT 2021","Wed Aug 11 13:32:14 GMT 2021","89","test","test_TC00_Conduit","TestConduit","","","test_website",""
"broken","Wed Aug 11 13:32:39 GMT 2021","Wed Aug 11 13:32:41 GMT 2021","2472","test","test_TC06_AdatsorozatFile","TestFileUpload","","","test_upload_new_comment_from_file",""
"broken","Wed Aug 11 13:32:37 GMT 2021","Wed Aug 11 13:32:37 GMT 2021","256","test","test_TC05_SajatProfilSzerk","TestEditProfile","","","test_profile_settings",""
"passed","Wed Aug 11 13:32:18 GMT 2021","Wed Aug 11 13:32:21 GMT 2021","2878","test","test_TC02_Regisztracio","TestRegistrationConduit","","","test_registration",""
