"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 11 05:32:17 GMT 2021","Wed Aug 11 05:32:18 GMT 2021","309","test","test_TC11_FelhasznaloiKilepes","TestLogoutConduit","","","test_navigate_to_logout",""
"passed","Wed Aug 11 05:30:37 GMT 2021","Wed Aug 11 05:30:37 GMT 2021","48","test","test_TC00_Conduit","TestConduit","","","test_home_page_appearances",""
"broken","Wed Aug 11 05:31:06 GMT 2021","Wed Aug 11 05:31:06 GMT 2021","19","test","test_TC06_SajatCikkSzerk","TestEditBlogPost","","","test_edit_own_article",""
"passed","Wed Aug 11 05:31:12 GMT 2021","Wed Aug 11 05:31:14 GMT 2021","1368","test","test_TC08_TobbOldalasBejaras","TestPaginationConduit","","","test_navigate_to_login",""
"broken","Wed Aug 11 05:30:54 GMT 2021","Wed Aug 11 05:30:55 GMT 2021","304","test","test_TC05_SajatProfilSzerk","TestEditProfile","","","test_profile_settings",""
"passed","Wed Aug 11 05:31:08 GMT 2021","Wed Aug 11 05:31:10 GMT 2021","2134","test","test_TC08_TobbOldalasBejaras","TestPaginationConduit","","","test_website",""
"passed","Wed Aug 11 05:30:40 GMT 2021","Wed Aug 11 05:30:40 GMT 2021","73","test","test_TC01_Cookies","TestCookies","","","test_accept_cookies",""
"passed","Wed Aug 11 05:31:20 GMT 2021","Wed Aug 11 05:31:21 GMT 2021","1357","test","test_TC09_SajatCikkTorles","TestDeleteBlogPost","","","test_navigate_to_login",""
"passed","Wed Aug 11 05:31:02 GMT 2021","Wed Aug 11 05:31:03 GMT 2021","1377","test","test_TC06_SajatCikkSzerk","TestEditBlogPost","","","test_navigate_to_login",""
"broken","Wed Aug 11 05:31:04 GMT 2021","Wed Aug 11 05:31:04 GMT 2021","15","test","test_TC06_SajatCikkSzerk","TestEditBlogPost","","","test_create_new_article",""
"passed","Wed Aug 11 05:31:17 GMT 2021","Wed Aug 11 05:31:19 GMT 2021","2135","test","test_TC09_SajatCikkTorles","TestDeleteBlogPost","","","test_website",""
"passed","Wed Aug 11 05:30:39 GMT 2021","Wed Aug 11 05:30:39 GMT 2021","131","test","test_TC00_Conduit","TestConduit","","","test_website",""
"passed","Wed Aug 11 05:30:58 GMT 2021","Wed Aug 11 05:31:00 GMT 2021","2177","test","test_TC06_SajatCikkSzerk","TestEditBlogPost","","","test_website",""
"broken","Wed Aug 11 05:31:16 GMT 2021","Wed Aug 11 05:31:16 GMT 2021","18","test","test_TC08_TobbOldalasBejaras","TestPaginationConduit","","","test_pagination",""
"passed","Wed Aug 11 05:30:49 GMT 2021","Wed Aug 11 05:30:52 GMT 2021","2996","test","test_TC04_UjCikk","TestNewBlogPost","","","test_create_new_article",""
"broken","Wed Aug 11 05:31:23 GMT 2021","Wed Aug 11 05:31:23 GMT 2021","14","test","test_TC09_SajatCikkTorles","TestDeleteBlogPost","","","test_create_new_article",""
"passed","Wed Aug 11 05:30:47 GMT 2021","Wed Aug 11 05:30:48 GMT 2021","1410","test","test_TC03_Login","TestLoginConduit","","","test_navigate_to_login",""
"broken","Wed Aug 11 05:30:57 GMT 2021","Wed Aug 11 05:30:57 GMT 2021","313","test","test_TC06_AdatsorozatFile","TestFileUpload","","","test_upload_new_article_from_file",""
"passed","Wed Aug 11 05:30:42 GMT 2021","Wed Aug 11 05:30:45 GMT 2021","3243","test","test_TC02_Regisztracio","TestRegistrationConduit","","","test_registration",""
"broken","Wed Aug 11 05:31:25 GMT 2021","Wed Aug 11 05:32:15 GMT 2021","50148","test","test_TC09_SajatCikkTorles","TestDeleteBlogPost","","","test_delete_own_article",""
