"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 19:48:06 GMT 2021","Thu Aug 12 19:48:15 GMT 2021","8564","test","test_TC08_TobbOldalasBejaras","TestPaginationConduit","","","test_pagination",""
"passed","Thu Aug 12 19:47:05 GMT 2021","Thu Aug 12 19:47:05 GMT 2021","57","test","test_TC00_Conduit","TestConduit","","","test_home_page_appearances",""
"passed","Thu Aug 12 19:47:12 GMT 2021","Thu Aug 12 19:47:14 GMT 2021","2413","test","test_TC02_Regisztracio","TestRegistrationConduit","","","test_registration",""
"passed","Thu Aug 12 19:47:09 GMT 2021","Thu Aug 12 19:47:09 GMT 2021","90","test","test_TC01_Cookies","TestCookies","","","test_accept_cookies",""
"passed","Thu Aug 12 19:47:56 GMT 2021","Thu Aug 12 19:48:04 GMT 2021","7251","test","test_TC07_AdatListazas","TestDataListingArticels","","","test_data_list_articles",""
"passed","Thu Aug 12 19:47:30 GMT 2021","Thu Aug 12 19:47:54 GMT 2021","23569","test","test_TC06_AdatsorozatFile","TestFileUpload","","","test_upload_new_comment_from_file",""
"passed","Thu Aug 12 19:47:24 GMT 2021","Thu Aug 12 19:47:28 GMT 2021","3306","test","test_TC05_SajatCikkSzerk","TestEditArticle","","","test_edit_own_article",""
"passed","Thu Aug 12 19:47:07 GMT 2021","Thu Aug 12 19:47:07 GMT 2021","103","test","test_TC00_Conduit","TestConduit","","","test_website",""
"passed","Thu Aug 12 19:48:49 GMT 2021","Thu Aug 12 19:48:51 GMT 2021","1616","test","test_TC11_FelhasznaloiKilepes","TestLogoutConduit","","","test_navigate_to_logout",""
"passed","Thu Aug 12 19:48:17 GMT 2021","Thu Aug 12 19:48:32 GMT 2021","14613","test","test_TC09_SajatCikkTorles","TestEditArticle","","","test_delete_own_article",""
"passed","Thu Aug 12 19:47:16 GMT 2021","Thu Aug 12 19:47:17 GMT 2021","1393","test","test_TC03_Login","TestLoginConduit","","","test_navigate_to_login",""
"passed","Thu Aug 12 19:48:34 GMT 2021","Thu Aug 12 19:48:47 GMT 2021","12423","test","test_TC10_AdatlementesFeluletrol","TestDatadownload","","","test_data_download",""
"passed","Thu Aug 12 19:47:20 GMT 2021","Thu Aug 12 19:47:23 GMT 2021","3234","test","test_TC04_UjCikk","TestNewBlogPost","","","test_create_new_article",""
